state,flag-0302,flag-0412
Alabama,Y,N
Alaska,N,N
Arizona,N,N
Arkansas,Y,N
California,Y,Y
Colorado,Y,Y
Connecticut,Y,Y
Delaware,Y,Y
District of Columbia,Y,Y
Florida,N,N
Georgia,N,N
Hawaii,Y,Y
Idaho,N,N
Illinois,Y,Y
Indiana,Y,N
Iowa,N,N
Kansas,Y,N
Kentucky,Y,Y
Louisiana,Y,Y
Maine,Y,Y
Maryland,Y,Y
Massachusetts,Y,Y
Michigan,Y,Y
Minnesota,Y,Y
Mississippi,N,N
Missouri,N,N
Montana,N,N
Nebraska,N,N
Nevada,Y,Y
New Hampshire,Y,Y
New Jersey,Y,Y
New Mexico,Y,Y
New York,Y,Y
North Carolina,Y,Y
North Dakota,N,N
Ohio,Y,Y
Oklahoma,N,N
Oregon,Y,Y
Pennsylvania,Y,Y
Rhode Island,Y,Y
South Carolina,N,N
South Dakota,N,N
Tennessee,N,N
Texas,N,N
Utah,Y,N
Vermont,Y,Y
Virginia,Y,Y
Washington,Y,Y
West Virginia,Y,Y
Wisconsin,Y,N
Wyoming,Y,N
